pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEBR21342,11,0,1995,DAMODAR RAWAT,Bihar,JHAJHA,SAP,,7853,M,4,6,FALSE,FALSE,8.48,3018,3.26,,4,6
AEBR21342,12,0,2000,DAMODAR RAWAT,Bihar,JHAJHA,SAP,SAP,27480,M,1,6,FALSE,FALSE,29.82,1645,1.78,,4,6
AEBR21342,13,0,2005,DAMODAR RAWAT,Bihar,JHAJHA,JD(U),SAP,26184,M,1,6,TRUE,TRUE,28.09,4930,5.29,42,4,6
AEBR21342,14,0,2005,DAMODAR RAWAT,Bihar,JHAJHA,JD(U),JD(U),37789,M,1,6,FALSE,TRUE,44.66,12344,14.59,46,4,6
AEBR21342,15,0,2010,DAMODAR RAWAT,Bihar,JHAJHA,JD(U),JD(U),48080,M,1,6,FALSE,TRUE,38.74,10204,8.22,50,4,6
AEBR21342,16,0,2015,DAMODAR RAWAT,Bihar,JHAJHA,JD(U),JD(U),43451,M,2,6,FALSE,TRUE,26.55,22706,13.87,56,4,6
AEBR2151,16,0,2015,MANJU HAZARI,Bihar,ROSERA,BJP,,51145,F,2,1,FALSE,FALSE,31.46,41602,25.59,43,,1
AEBR21582,11,0,1995,SHAILESH KUMAR,Bihar,JAMALPUR,SAP,,22988,M,2,6,FALSE,FALSE,22.4,11048,10.76,,4,6
AEBR21582,12,0,2000,SHAILESH KUMAR,Bihar,JAMALPUR,IND,SAP,40535,M,2,6,FALSE,FALSE,36.19,32049,28.61,,4,6
AEBR21582,13,0,2005,SHAILESH KUMAR,Bihar,JAMALPUR,JD(U),IND,45536,M,1,6,FALSE,FALSE,49.13,21550,23.25,42,4,6
AEBR21582,14,0,2005,SHAILESH KUMAR,Bihar,JAMALPUR,JD(U),JD(U),52682,M,1,6,FALSE,TRUE,58.11,32706,36.08,42,4,6
AEBR21582,15,0,2010,SHAILESH KUMAR,Bihar,JAMALPUR,JD(U),JD(U),48337,M,1,6,FALSE,TRUE,42.12,21142,18.42,47,4,6
AEBR21582,16,0,2015,SHAILESH KUMAR,Bihar,JAMALPUR,JD(U),JD(U),67273,M,1,6,FALSE,TRUE,45.68,15476,10.51,52,4,6
AEBR21611,11,0,1995,PRAHLAD YADAV,Bihar,SURAJGARHA,IND,,29787,M,1,6,FALSE,FALSE,29.17,7379,7.23,,4,6
AEBR21611,12,0,2000,PRAHLAD YADAV,Bihar,SURAJGARHA,RJD,IND,54410,M,1,6,FALSE,TRUE,41.05,26864,20.27,,4,6
AEBR21611,13,0,2005,PRAHLAD YADAV,Bihar,SURAJGARHA,RJD,RJD,33856,M,1,6,FALSE,TRUE,37.17,5239,5.75,44,4,6
AEBR21611,14,0,2005,PRAHALAD YADAV,Bihar,SURAJGARHA,RJD,RJD,37239,M,2,6,FALSE,TRUE,36.55,21640,21.24,45,4,6
AEBR21611,15,0,2010,PRAHLAD YADAV,Bihar,SURYAGARHA,RJD,RJD,46583,M,2,6,FALSE,FALSE,36.26,40893,31.83,55,4,6
AEBR21611,16,0,2015,PRAHLAD YADAV,Bihar,SURYAGARHA,RJD,RJD,82490,M,1,6,FALSE,FALSE,50.2,30030,18.27,55,4,6
AEBR2162,16,0,2015,VINOD CHOUDHARY,Bihar,HASANPUR,BLSP,,33494,M,2,1,FALSE,FALSE,22.83,13738,9.36,48,,1
AEBR21816,11,0,1995,SUNIL KUMAR,Bihar,BIHAR,IND,,23755,M,4,6,FALSE,FALSE,17.79,8753,6.56,,4,6
AEBR21816,12,0,2000,DR. SUNIL KUMAR,Bihar,BIHAR,IND,IND,40999,M,2,6,FALSE,FALSE,22.62,5176,2.86,,4,6
AEBR21816,13,0,2005,DR. SUNIL KUMAR,Bihar,BIHAR,JD(U),IND,74752,M,1,6,FALSE,FALSE,58.52,31813,24.91,49,4,6
AEBR21816,14,0,2005,DR. SUNIL KUMAR,Bihar,BIHAR,JD(U),JD(U),62634,M,1,6,FALSE,TRUE,54.8,23407,20.48,49,4,6
AEBR21816,15,0,2010,DR. SUNIL KUMAR,Bihar,BIHARSHARIF,JD(U),JD(U),77880,M,1,6,FALSE,TRUE,51.85,23712,15.79,56,4,6
AEBR21816,16,0,2015,DR.SUNIL KUMAR,Bihar,BIHARSHARIF,BJP,JD(U),76201,M,1,6,TRUE,TRUE,42.73,2340,1.31,58,4,6
